"","V1"
"texto","Aberturas de Avanzada SA
Descripción Fabricacion de carpinteria metalica ventanas hermeticas de PVC
Web http://aberturasdeavanzada.com.ar/site
Radicada en
Parque Industrial Cañuelas I"
"texto","Aberturas GH SRL
Descripción (Fabrica aberturas de PVC TECNOCOM)
Web https://www.aberturasgh.com.ar/Principal.htm?=2500
Radicada en
Parque Industrial Suarez"
"texto","Aberturas Herfasa SA
Descripción (Fabrica de puertas y ventanas de aluminio puerta placa de madera con marco de aluminio rejas de hierro macizo)
Web http://herfasa.com
Radicada en
Parque Industrial Oficial de Desarrollo Sauce Viejo Santa Fe"
"texto","Aberturas Valentinuz SA
Descripción (Fabrica de puertas placa frentes de placard puertas corredizas de embutir)
Web https://www.valentinuz.com.ar/
Radicada en
Parque Industrial de Parana"
"texto","ABE SA (V8 Bloques de Hormigon)
Descripción BLOQUE V8 Fabrica de bloques y premoldeados adoquines postes
Web https://www.bloquev8.com.ar
Radicada en
Parque Industrial de la Ciudad de General Guemes"
"texto","Abraham y Oscar Consevik SA
Descripción (Fabrica integral de envases flexibles)
Radicada en
Parque Industrial Pilar"
"texto","Abra Pampa SRL
Descripción (Planta de acondicionamiento y clasificacion de semillas)
Radicada en
Parque Industrial Chivilcoy"
"texto","Abreu SA
Descripción (Diseño fabricacion e instalacion de maquinaria para la industria alimenticia pesquera frutihorticola frigorifica avicola lactea panificacion)
Web https://www.abreu.com.ar/
Radicada en
Parque Industrial y Tecnologico General Manuel Savio Mar del Plata"
"texto","Acay Agro SA
Descripción (Formulacion y fabricacion de cebos granulados para el control de plagas de bichos bolita babosas y caracoles)
Web https://www.acay.com.ar
Radicada en
Sector Industrial Planificado El Molino II Balcarce Buenos Aires"
"texto","Accion Mercantil SA
Descripción (D´RICCO Venta articulos del hogar)
Web https://www.dricco.com.ar
Radicada en
Parque Industrial San Lorenzo Santa Fe"
"texto","◀ Anterior Página 2 Siguiente ►"
"texto","Acecar SA
Descripción (Carbon de coque carbon residual de petroleo productos para la industria siderurgica metalurgica)
Web https://www.acecar.com.ar/
Radicada en
Parque Industrial COMIRSA Complejo Industrial Ramallo San Nicolas"
"texto","Aceitera Alborada SA
Descripción Aceite de soja
Radicada en
Parque Industrial Oficial de Desarrollo Sauce Viejo Santa Fe"
"texto","Aceitera General Deheza SA (Agroalimentos AGD)
Descripción Fabrica de aceite crudo de girasol mani y soja aceite refinado de girasol y soja harina de soja pellets NATURA MAYOLIVA. Plantas en provincias de Cordoba Santa Fe San Luis
Web https://www.agd.com.ar/
Radicada en
Parque Industrial Adrian Pascual Urquia General Deheza"
"texto","Aceitera Villaguay SA
Descripción (Elaboracion de grasas y aceites de origen vegetal y animal)
Radicada en
Parque Industrial de Villaguay Entre Rios"
"texto","Aceites del Valle Trading SA
Descripción (DELLUCO ADV Produccion y comercializacion de aceite de oliva y otros aceites comestibles a granel y envases industriales food service para compañias envasadoras industria alimentaria)
Web https://www.aceitesdelvalle.com/
Radicada en
Zona Industrial de San Carlos"
"texto","Acerbrag SA
Descripción (Votorantim Siderurgia Elaboracion de aceros industria basica de hierro y acero alambres alambrones barras mallas clavos servicio de cortado y doblado de armaduras)
Web https://www.acerbrag.com/
Radicada en
Parque Industrial COMIRSA Complejo Industrial Ramallo San Nicolas"
"texto","Acerias 4C SA
Descripción (Fundicion de aceros inoxidables fabrica de partes y piezas maquinaria agricola fabrica de valvulas industriales valvulas de petroleo)
Web https://www.acerias4c.com.ar/
Radicada en
Area Industrial de la Ciudad de Las Parejas Santa Fe"
"texto","Acernox SA
Descripción (Fundicion de metales)
Radicada en
Parque Industrial Union Industrial Quilmes"
"texto","Acero Perfil SA
Descripción (Soluciones para construccion en seco Steel Frame paneles formados por perfiles Drywall construccion de paredes divisorias y cielorrasos Grid cielorrasos)
Web https://www.aceroperfil.com/
Radicada en
Parque Industrial y Tecnologico Florencio Varela"
"texto","Aceroplat SRL
Descripción (Tratamiento termico Cromo)
Web https://www.aceroplat.com.ar
Radicada en
Parque Industrial Union Industrial Quilmes"
"texto","◀ Anterior Página 3 Siguiente ►"
"texto","Aceros Alfa SA
Descripción (MI PILETA Fabrica piletas para cocina y baño mesadas en acero inoxidable)
Web https://www.mipileta.com.ar/espanol/home.php
Radicada en
Sector Industrial Planificado Polo Maderero y Mueblero"
"texto","Aceros Angeletti SA
Descripción (Industria basica de acero fundido en lingotes forjados y laminados piezas forjadas en bruto o mecanizadas)
Web https://www.acerosangeletti.com.ar
Radicada en
Sector Industrial Planificado de Almirante Brown SIPAB Burzaco Buenos Aires"
"texto","Aceros Cuyanos SA
Descripción (ACSA Fabrica de piezas fundidas para la industria minera cementera y naval)
Web http://www.aceroscuyanos.com/site/
Radicada en
Parque Industrial Provincial de Mendoza PIP Distrito Industrial de Lujan de Cuyo"
"texto","Aceros FB SRL
Descripción (Metalurgica trefilados laminados forjados perfileria servicios de perforado de barras premecanizado de piezas tratamientos termicos)
Web https://www.acerosfb.com.ar/
Radicada en
Parque Industrial de Tigre"
"texto","Acetum SA
Descripción (Elaboracion de vinagres)
Radicada en
Parque Industrial Platanos PIP Berazategui Buenos Aires"
"texto","Acevedo Marcelo Alcides y Rausch Pablo Javier Sociedad Simple
Descripción (Fabricacion de premoldeados para la construccion elaboracion de hormigon)
Radicada en
Parque Industrial de Mocoreta"
"texto","Acha Plast SA
Descripción (Inyeccion de termoplasticos descartables para uso alimenticio cubiertos y vasos descartables)
Web https://www.achaplast.com.ar/
Radicada en
Parque Industrial La Cantabrica Haedo Moron EPIBAM"
"texto","Achilli y Di Battista SRL (AD MONUMENTAL)
Descripción Fabrica de sembradoras de grano grueso y grano fino tolvas acoplados
Web http://sembradorasmonumental.com
Radicada en
Area Industrial de Desarrollo Mixta de Armstrong Santa Fe"
"texto","Acier Argentina SA
Descripción (Fabricacion de paneles termicos autoportantes puertas frigorificas)
Web https://www.acierargentina.com.ar
Radicada en
Parque Industrial Spegazzini"
"texto","AC Ingenieria SRL (ACIng Construccion de Obras de Ingenieria)
Descripción Construccion de Obras de Ingenieria obras de arquitectura naves industriales viviendas y oficinas modulos transportables desarrollo con paneles de poliuretano señalizacion vial
Web https://ac.com.ar/
Radicada en
Parque Industrial Metropolitano PIM Perez Gran Rosario"
"texto","◀ Anterior Página 4 Siguiente ►"
"texto","ACM Argentina SRL
Descripción (Estampado mecanizado ensamblado y pintura de componentes metalicos para la industria automotriz)
Radicada en
Parque Industrial Oficial de Desarrollo y Descongestion de Alvear"
"texto","Aconcagua Transportes SRL
Descripción (Servicio de transporte logistica y almacenamiento de productos secos a granel con descarga neumatica)
Web https://www.aconcagua-trans.com.ar
Radicada en
Parque Industrial Privado de Malvinas Argentinas -Area de Promoción El Triangulo-"
"texto","Acondicionadora Chavez SA
Descripción Acopio y acondicionamiento de cereales expeller de soja aceite de soja
Radicada en
Sector Industrial Planificado Gonzales Chaves"
"texto","Acoplados Belen SA
Descripción Fabrica de acoplados tanque playos tolvas para semillas y fertilizantes acoplados tanque y volcador palas hidraulicas
Web https://www.acopladosbelen.com.ar
Radicada en
Area Industrial de Desarrollo Mixta de Armstrong Santa Fe"
"texto","Acoplados Rurales SA (ACOPLADOS CONESE)
Descripción Fabrica de autodescargable tolvas acoplado vaquero vocaldores tanques carretones sinfines
Web http://acopladosconese.com.ar/
Radicada en
Area Industrial Oficial de Desarrollo Correa"
"texto","Acorazado SA
Descripción (Fabrica trapos para pisos)
Radicada en
Parque Industrial La Plata"
"texto","Acronex SRL
Descripción (Investigacion y desarrollo tecnologico orientado al sector agricola tecnologia para una agricultura sustentable UNIMAP UNIMAP Software que presenta todos los datos y alertas desde un smartphone tablet PCs)
Web https://www.acronex.com/
Radicada en
Parque Tecnologico del Litoral Centro SAPEM"
"texto","Acsur SA
Descripción (Fabrica de envases plasticos preformas PET para industria de bebidas aceites comestibles y productos de limpieza)
Web https://www.acsur.com.ar/
Radicada en
Parque Industrial de Rio Grande"
"texto","Acualite Proyectos SA
Descripción (APSA Planta de tratamiento de efluentes Tratamiento de aguas)
Web https://www.acualitepro.com.ar
Radicada en
Parque Industrial La Cantabrica Haedo Moron EPIBAM"
"texto","Adala Hnos. y Cia. SA
Descripción (Arenados y pinturas industriales de estructuras metalicas livianas y pesadas carrocerias vagones semirremolques tolvas acoplados cisternas spray de poliuretano pinturas en polvo horneables)
Web https://www.arenadosadala.com.ar
Radicada en
Parque Industrial Olavarria"
"texto","◀ Anterior Página 5 Siguiente ►"
"texto","Adama SA
Descripción (Elaboracion de salsas y condimentos esencias comestibles y aditivos alimentarios)
Web https://www.adamasa.com/
Radicada en
Sector Industrial Planificado de General Rodriguez"
"texto","A.D. Barbieri SA
Descripción (DRYWALL Perfiles para la construccion en seco industria metalurgica y plastica fabrica de perfiles y cortinas enrollar puertas plegadizas cortinas enrollar)
Web https://www.adbarbieri.com/
Radicada en
Sector Industrial Planificado de Almirante Brown SIPAB Burzaco Buenos Aires"
"texto","Additech SA
Descripción (Fabrica de adivitos para nutricion animal avicola porcinos rumiantes equinos mascotas)
Web https://www.additech.com.ar
Radicada en
Parque Industrial Mi Granja"
"texto","Adhesivos Industriales SA
Descripción (Fabrica de colas y adhesivos para industria del packaging artes graficas industria del corrugado industria alimenticia)
Web https://www.adhesivosindustrialessa.com
Radicada en
Parque Industrial Privado de Malvinas Argentinas -Area de Promoción El Triangulo-"
"texto","Adhesivos Parsecs SA
Descripción (Fabrica adhesivos selladores)
Web https://www.adhesivosparsecs.com/index.php/es/productos
Radicada en
Parque Industrial La Plata II PI2"
"texto","Adibak SA
Descripción (Fabrica de instrumentos de medicion para industria del gas y petroleo Durometros)
Web https://www.adibak.com.ar
Radicada en
Parque Industrial La Cantabrica Haedo Moron EPIBAM"
"texto","Adient Automotive Argentina SRL
Descripción (Fabrica de asientos para automoviles)
Web https://www.adient.com
Radicada en
Parque Industrial Pueblo Esther"
"texto","Administracion Nacional de Seguridad Social
Descripción (ANSES) Consultas CUIT CUIL
Web https://www.anses.gov.ar
Radicada en
Parque Privado Canning Industrial"
"texto","Adobe Construcciones SRL
Descripción (Arquitectura y obra civil infraestructura y saneamiento ingenieria electrica mantenimiento industrial)
Web https://www.adobeconstrucciones.com.ar
Radicada en
Micro Parque Industrial MICROPI Alvear Rosario"
"texto","Adolfo Sartori SA
Descripción (Venta por mayor y menor de combustibles y lubricantes servicio de transporte de carga automotor transporte por camion cisterna)
Web http://adolfosartorisa.com.ar
Radicada en
Parque Industrial San Lorenzo Santa Fe"
"texto","◀ Anterior Página 6 Siguiente ►"
"texto","Advanced Organic Materials SA
Descripción (AOMSA Suplementos dietarios Fitoesteroles Biocombustibles)
Web https://www.aomsa.com.ar
Radicada en
Parque Industrial Pilar"
"texto","Advanced Sistems SA
Descripción (ADS Fabricacion y comercializacion de gelcoats resinas fibra de vidrio y auxiliares rubro nautica piscinas transporte y laminacion general)
Web http://gelcoatads.com
Radicada en
Parque Industrial de Tigre"
"texto","Adva SRL
Descripción (Industria quimica productos liquidos de limpieza y estetica para el hogar y envases plasticos)
Web https://www.advasrl.com.ar
Radicada en
Parque Industrial Emprendimiento Productivo Leones Cordoba"
"texto","A.E.B. America SRL
Descripción (Electronica de combustible alternativo diseño y fabricacion de dispositivos electronicos para la conversion de vehiculos a GLP GNC)
Web https://www.aeb.it/en/
Radicada en
Parque Industrial Privado de Malvinas Argentinas -Area de Promoción El Triangulo-"
"texto","AEPSA SA
Descripción Servicios para industrias soluciones en limpieza de plantas industriales mantenimiento de espacios verdes pintura especializada mantenimiento mecanico
Web http://www.aepsasrl.com.ar/
Radicada en
Poligono Industrial Malagueño PIM"
"texto","Aeris Ingenieria SA
Descripción APPIA Software de control de logistica interna de planta recepcion pesado cargas descargas automatizacion y conversion de calderas y secadoras obras de montaje electromecanico
Web http://aerisingenieria.com.ar/
Radicada en
Parque Industrial Adrian Pascual Urquia General Deheza"
"texto","AeroGalvez SRL
Descripción (Aerocombustibles lubricantes)
Web https://www.aerogalvez.com.ar/
Radicada en
Parque Industrial Tecnologico Aeronautico Moron"
"texto","Aeropol SA
Descripción (Embalajes industriales fabrica de contenedores flexibles para productos granulados o en polvo division comunicacion visual banners cenefas grafica vehicular exhibidores estandartes)
Web https://www.aeropolsa.com.ar/
Radicada en
Parque Industrial Mixto Villa Lujan de Avellaneda"
"texto","A-Evangelista SA (AESA)
Descripción (AESA Soluciones y servicios para el mercado energetico fabricacion de equipos y modulos de proceso proyectos industriales servicios petroleros y de mineria)
Web https://www.aesa.com.ar/
Radicada en
Parque Industrial Municipal Centenario Neuquen"
"texto","AEV SRL
Descripción (BELLMAQ Fabricacion de implementos agricolas desmalezadoras trailers arados cinceles alomadoras niveladoras)
Web https://www.bellmaq.com.ar/
Radicada en
Parque Industrial Bell Ville"
"texto","◀ Anterior Página 7 Siguiente ►"
"texto","AFB International Argentina SRL
Descripción (Desarrollo y produccion de saborizantes liquidos y secos saborizantes de comidas para mascotas)
Web http://afbinternational.com/es
Radicada en
Parque Industrial Pilar"
"texto","Afford SA
Descripción (Fabrica medicamentos especialidades veterinarias)
Web https://www.afford.com.ar
Radicada en
Parque Industrial de Lomas de Zamora"
"texto","AFG Ingenieria SRL
Descripción (Innovacion e Industria 4.0 Diseño de maquinas especiales y desarrollo de proyectos electromecanicos)
Web https://www.afgingenieria.com.ar
Radicada en
Parque Industrial y Logistico Park Empresarial Rosario Santa Fe"
"texto","AFS SA
Descripción (AFS Consultora y Negocios Diseño ingenieria y montaje de redes de proteccion contra incendios seguridad e higiene)
Web https://www.afsconsultora.com.ar
Radicada en
Parque Industrial Provincial Quimico y Petroquimico Plaza Huincul"
"texto","Agco Argentina SA
Descripción (Cosechadoras CHALLENGER tractores MASSEY FERGUSON VALTRA enfardadoras segadoras FENT Agricultura de precision PRECISION PLANTING)
Web https://www.masseyferguson.com.ar
Radicada en
Parque Industrial DECA Haedo Moron"
"texto","Agenor SA
Descripción (Borato de zinc y anhidrido borico Fertilizantes minerales maderas preservadores quimica productos agroquimicos)
Web https://www.agenorsa.com
Radicada en
Parque Industrial Ciudad de Salta"
"texto","Agentex SRL
Descripción (Venta de maquinaria para industria textil)
Radicada en
Parque Industrial Privado Villa Flandria"
"texto","Aggreko Argentina SRL (Soluciones de energia)
Descripción Soluciones en generacion de energia grupos electrogenos para sector electrico mineria oil y gas petroquimica bioenergia almacenamiento de energia sistemas hibridos de energia solar eolica
Web https://www.aggreko.com/es-co
Radicada en
Parque Industrial Tucuman
Sector Industrial Planificado Intendente Gerardo A. Risso Arrecifes"
"texto","Aglietto Ingenieria SA (Consultora de Ingenieria Integral Especializada)
Descripción Proyectos electricos montajes media y baja tension eficiencia energetica y energias renovables nivelaciones proyectos de saneamiento hidrico urbanos y rurales
Web https://www.agliettoingenieria.com.ar/
Radicada en
Parque de Actividades Economicas de Rafaela Santa Fe PAER"
"texto","AGM Argentina SA
Descripción (Fabricacion de herbicidas insecticidas funguicidas inoculantes y coadyuvantes)
Web https://www.agmargentina.com
Radicada en
Parque Industrial Pilar"
"texto","◀ Anterior Página 8 Siguiente ►"
"texto","Agrefert.AR SA
Descripción (Importadores directos y productores de fertilizantes comercializacion de fertilizantes solidos a granel y formulancion de liquidos en plantas de terceros)
Web http://agrefert.com
Radicada en
Parque Industrial COMIRSA Complejo Industrial Ramallo San Nicolas
Polo Empresarial K41"
"texto","Agreteq SA
Descripción (Fabrica de plantas moviles de clasificacion y trituracion cintas transportadoras zarandas de clasificacion)
Web https://www.agreteq.com
Radicada en
Parque Industrial Mi Granja"
"texto","Agricultores Federados Argentinos Sociedad Cooperativa Ltda. (AFA Rosario Santa Fe)
Descripción AFA Es la Cooperativa de Primer Grado más grande de Argentina. Cuenta con 26 Centro Cooperativos Primarios
Web https://afa.afascl.coop/
Radicada en
Area Industrial de Desarrollo Mixta de Armstrong Santa Fe
Parque Industrial COMIRSA Complejo Industrial Ramallo San Nicolas
Parque Industrial de Crespo Entre Rios"
"texto","Agritech SA
Descripción (AT AGRO-THRIVE Desarrollo de tecnologia para el control fitosanitario en la produccion agropecuaria desarrollo de maquina de 12 Mts. de ancho que mata las malezas con electricidad ATILA desmalezadora electrica)
Web http://agro-thrive.com/index.htm
Radicada en
Parque Industrial Adrian Pascual Urquia General Deheza"
"texto","Agro Aceitera Cordoba SA
Descripción
Radicada en
Parque Industrial Rio Cuarto CECIS"
"texto","Agro Andina SA (Agroandina SAPEM SABORES EL VALLE)
Descripción Produccion primaria de tomate elaboracion de conservas de tomate legumbres comidas envasadas y vegetales congelados
Web https://agroandina.com.ar/
Radicada en
Parque Industrial de la Ciudad de Chilecito"
"texto","Agroar Maquinas Agricolas SA
Descripción (Fabrica de acoplados autodescargables embolsadora de forrajes desmalezadoras rastrillos hileradores extractoras cargadoras de granos)
Web https://www.agroarsa.com.ar
Radicada en
Area Industrial San Vicente"
"texto","Agro Distribuidora Sud Oeste SRL
Descripción (Venta por mayor de semillas y granos para forrajes venta de abonos fertilizantes insecticidas)
Radicada en
Parque Industrial Rio Cuarto Arturo Frondizi y Zona Industrial Fase I y II"
"texto","Agrofe Campo SRL
Descripción (Venta de abonos fertilizantes y plaguicidas)
Radicada en
Parque Industrial Alto Avellaneda Presidente Nicolas Avellaneda"
"texto","Agro Fly SRL
Descripción (Produccion de aceite desactivacion de granos aceite y expeller de soja)
Radicada en
Sector Industrial Planificado Roque Perez Buenos Aires"
"texto","◀ Anterior Página 9 Siguiente ►"
"texto","Agroforestal Obera SRL (Produccion de miera de pino)
Descripción Produccion primaria de miera de bosques localizados en la provincia de Misiones y Corrientes produccion de trementina y colofonia de pino
Web https://aforestalobera.com.ar/page/
Radicada en
Parque Foresto Industrial Ituzaingo Provincia de Corrientes Puerto y Parque Industrial"
"texto","Agrofortuc SRL (Molino Arrocero FORTUC)
Descripción Molino Arrocero FORTUC Marcas AF MITAI
Radicada en
Parque Industrial Formosa"
"texto","Agrofum SA
Descripción (Fumigaciones en buques fumigacion y acondicionamiento de contenedores fumigacion y tratamiento de plantas fosfuro de aluminio)
Web https://www.agrofum.com/
Radicada en
Sector Industrial Planificado Municipal Necochea"
"texto","Agroindustrial Sudeste SA
Descripción (MALTEAR Malteria Argentina produccion de distintas maltas claras y oscuras para la elaboracion de las mejores cervezas)
Web https://www.maltear.com/index.html
Radicada en
Parque Industrial Tres Arroyos"
"texto","Agro Industrias Baires SA
Descripción (ALIMENTOS BAIRES KONGO VORAZ Elaboracion de alimentos para animales perros gatos procesamiento de cereales por extrusion alimentos balanceados para animales de granja)
Web https://www.baires-sa.com.ar
Radicada en
Parque Industrial General Las Heras"
"texto","Agroinvest SRL
Descripción (FULLBACTER Inoculantes liquidos para soja trigo maiz y girasol elaboracion productos microbiologicos y fungidas)
Web https://www.agroinvest-biolab.com/interior.html
Radicada en
Parque Industrial Junin Presidente Arturo Frondizi"
"texto","Agro Made SRL
Descripción (Fabricacion e importacion de repuestos para tractores de mediana y alta potencia y maquinaria vial)
Web https://www.agro-made.com.ar
Radicada en
Parque Industrial Tecnologico y Logistico San Francisco Cordoba"
"texto","Agromat Granjas SA
Descripción (Sistemas automaticos de alimentacion para porcinos jaulas incubadoras nacedoras para avicultura recoleccion automatica huevos y estiercol distribucion de alimentos programable control sanitario y bioseguridad)
Web https://www.agromatgranjas.com.ar/
Radicada en
Parque Industrial Logistico y Tecnologico de Villa Maria Cordoba"
"texto","Agronegocios del Plata SRL
Descripción (Corredores de cereales y oleaginosas)
Web https://www.agronegociosdelplata.com/empresa.asp
Radicada en
Sector Industrial Planificado Coronel Pringles"
"texto","Agronegocios Litoral SA
Descripción (Fabricacion de insecticidas plaguicidas y productos quimicos de uso agropecuario produccion de semillas varietales)
Radicada en
Parque Industrial Oficial de Desarrollo Sauce Viejo Santa Fe"
"texto","◀ Anterior Página 10 Siguiente ►"
